order_id,region_id,city,courier_id,accept_time,time_window_start,time_window_end,lng,lat,aoi_id,aoi_type,pickup_time,pickup_gps_time,pickup_gps_lng,pickup_gps_lat,accept_gps_time,accept_gps_lng,accept_gps_lat,ds,courier_phone,courier_name,package_weight
5630548,0,Shanghai,8122,05-31 07:53:00,05-31 09:00:00,05-31 10:00:00,121.56562,30.92392,15351,14,05-31 08:58:00,05-31 08:57:00,121.56566,30.92463,05-31 07:47:00,121.54161,30.92727,0531,13831496249,周鹏,5.21
3917441,0,Shanghai,8122,05-30 11:36:00,05-30 11:36:00,05-30 12:36:00,121.56493,30.92493,15351,14,05-30 13:22:00,05-30 13:22:00,121.56516,30.92421,,,,0530,13831496249,周鹏,3.93
820346,0,Shanghai,8254,05-26 08:50:00,05-26 08:50:00,05-26 23:59:00,121.54408,30.86655,15854,14,05-26 16:02:00,05-26 16:02:00,121.54191,30.86737,,,,0526,13863794789,王军,1.56
3655859,0,Shanghai,8122,05-31 07:49:00,05-31 09:00:00,05-31 10:00:00,121.56438,30.91658,20307,14,05-31 08:49:00,05-31 08:49:00,121.56421,30.91722,05-31 07:47:00,121.54168,30.92736,0531,13831496249,周鹏,12.85
649899,5,Shanghai,1207,05-29 13:17:00,05-29 13:17:00,05-29 23:59:00,121.65642,31.19097,1091,14,05-29 18:16:00,05-29 18:16:00,121.65792,31.19266,,,,0529,13891079117,孙辉,8.92
3695822,5,Shanghai,4876,05-31 21:51:00,05-31 21:51:00,06-01 23:59:00,121.69682,31.18984,5058,1,06-01 19:28:00,06-01 19:28:00,121.68712,31.18561,,,,0601,13892691945,高超,11.94
1862506,5,Shanghai,9723,05-21 20:26:00,05-21 20:26:00,05-22 23:59:00,121.6887,31.19817,5281,12,06-01 13:10:00,06-01 13:10:00,121.68538,31.192,,,,0601,13878243639,黄平,1.73
4645045,5,Shanghai,12812,05-31 15:40:00,05-31 15:39:00,05-31 23:59:00,121.70992,31.17838,16641,1,06-01 15:53:00,,,,,,,0601,13855428419,吴洋,6.92
2357186,5,Shanghai,3607,05-31 10:01:00,05-31 10:01:00,05-31 23:59:00,121.69344,31.17467,24252,1,06-01 11:45:00,06-01 11:45:00,121.66854,31.16713,,,,0601,13861501874,孙华,7.6
4476865,6,Shanghai,6684,05-27 17:08:00,05-27 17:08:00,05-28 23:59:00,121.517,31.23662,9383,1,05-28 12:04:00,05-28 12:04:00,121.56144,31.2365,,,,0528,13849713070,马强,7.78
3558322,6,Shanghai,6684,05-31 11:30:00,05-31 11:30:00,05-31 23:59:00,121.5223,31.23229,10458,1,05-31 14:47:00,,,,,,,0531,13849713070,马强,9.2
5846368,6,Shanghai,6684,05-30 20:10:00,05-30 20:10:00,05-31 23:59:00,121.52122,31.23403,12524,1,05-31 17:57:00,,,,,,,0531,13849713070,马强,2.99
2548954,6,Shanghai,6684,05-23 14:45:00,05-23 14:45:00,05-23 23:59:00,121.52042,31.23385,12524,1,05-23 15:58:00,05-23 15:57:00,121.5202,31.2338,05-23 14:43:00,121.51456,31.23714,0523,13849713070,马强,13.61
832488,6,Shanghai,6684,05-31 12:54:00,05-31 12:54:00,05-31 23:59:00,121.52237,31.23371,12524,1,05-31 16:48:00,,,,,,,0531,13849713070,马强,6.01
1181512,6,Shanghai,6684,05-29 20:34:00,05-29 20:34:00,05-30 23:59:00,121.52243,31.23386,12524,1,05-30 13:50:00,05-30 13:50:00,121.51884,31.23717,,,,0530,13849713070,马强,1.1
130725,6,Shanghai,6684,05-30 15:54:00,05-30 15:54:00,05-30 23:59:00,121.52233,31.23416,12524,1,05-31 16:43:00,,,,,,,0531,13849713070,马强,0.97
18748,8,Shanghai,15642,05-29 15:44:00,05-29 15:44:00,05-29 17:44:00,121.46583,31.24339,4190,1,05-29 16:18:00,05-29 16:17:00,121.46648,31.243,,,,0529,13893995614,何明,0.45
5806025,8,Shanghai,15642,05-31 11:48:00,05-31 11:48:00,05-31 13:48:00,121.46517,31.2439,9321,1,05-31 16:24:00,,,,,,,0531,13893995614,何明,7.46
3596460,8,Shanghai,15642,05-31 09:21:00,05-31 17:00:00,05-31 19:00:00,121.46543,31.24391,9321,1,05-31 17:11:00,,,,,,,0531,13893995614,何明,1.91
3614570,8,Shanghai,15642,05-31 15:53:00,05-31 15:53:00,05-31 17:53:00,121.46997,31.24402,11202,1,05-31 17:03:00,,,,,,,0531,13893995614,何明,12.66
273621,8,Shanghai,15642,05-21 12:41:00,05-21 12:41:00,05-21 14:41:00,121.46998,31.24406,11202,1,05-29 16:38:00,,,,,,,0529,13893995614,何明,4.58
5132280,8,Shanghai,15642,05-21 12:42:00,05-21 12:42:00,05-21 14:42:00,121.46995,31.24403,11202,1,05-29 16:30:00,,,,,,,0529,13893995614,何明,1.05
2050087,8,Shanghai,15642,05-31 16:12:00,05-31 16:12:00,05-31 18:12:00,121.46997,31.24408,11202,1,05-31 16:56:00,,,,,,,0531,13893995614,何明,5.15
1666048,8,Shanghai,15642,05-31 14:01:00,05-31 14:01:00,05-31 16:01:00,121.4688,31.24493,14056,1,05-31 16:45:00,,,,,,,0531,13893995614,何明,0.75
4135745,12,Shanghai,9680,05-26 09:17:00,05-26 09:17:00,05-26 11:17:00,121.21228,30.98559,35,14,05-26 10:36:00,05-26 10:36:00,121.20995,30.99436,,,,0526,13844263320,张刚,9.26
5699387,12,Shanghai,3532,05-30 11:41:00,05-30 11:41:00,05-30 12:41:00,121.18869,31.0127,495,1,05-30 11:42:00,,,,,,,0530,13810184185,张飞,12.69
547876,12,Shanghai,3532,05-26 09:53:00,05-26 12:00:00,05-26 13:00:00,121.18872,31.01279,495,1,05-26 12:34:00,,,,,,,0526,13810184185,张飞,1.71
3545780,12,Shanghai,3532,05-31 14:21:00,05-31 16:00:00,05-31 17:00:00,121.18873,31.01177,495,1,05-31 15:36:00,,,,,,,0531,13810184185,张飞,13.96
2295964,12,Shanghai,3532,05-26 14:12:00,05-26 14:12:00,05-26 15:12:00,121.19072,31.01228,495,1,05-26 14:49:00,,,,,,,0526,13810184185,张飞,3.81
3312347,12,Shanghai,3532,05-30 08:03:00,05-30 09:00:00,05-30 10:00:00,121.19075,31.01216,495,1,05-30 09:09:00,,,,,,,0530,13810184185,张飞,12.41
2850999,12,Shanghai,3532,05-26 09:03:00,05-26 18:00:00,05-26 19:00:00,121.18912,31.01283,495,1,05-26 17:38:00,,,,,,,0526,13810184185,张飞,12.29
308140,12,Shanghai,3532,05-31 15:02:00,05-31 15:02:00,05-31 16:02:00,121.18863,31.01277,495,1,05-31 15:11:00,,,,,,,0531,13810184185,张飞,13.23
5927177,12,Shanghai,3532,05-25 09:57:00,05-25 12:00:00,05-25 13:00:00,121.18862,31.01273,495,1,05-25 11:09:00,,,,,,,0525,13810184185,张飞,1.86
5024355,12,Shanghai,3532,05-26 15:09:00,05-26 16:00:00,05-26 17:00:00,121.18863,31.0117,495,1,05-26 15:47:00,,,,,,,0526,13810184185,张飞,1.09
1775627,12,Shanghai,3532,05-25 07:44:00,05-25 12:00:00,05-25 13:00:00,121.18867,31.01174,495,1,05-25 11:28:00,,,,,,,0525,13810184185,张飞,10.15
2980421,12,Shanghai,3532,05-28 10:28:00,05-28 12:00:00,05-28 13:00:00,121.18865,31.01172,495,1,05-28 12:14:00,,,,,,,0528,13810184185,张飞,2.03
2862201,12,Shanghai,3532,05-25 11:58:00,05-25 15:00:00,05-25 16:00:00,121.19046,31.01063,495,1,05-25 15:37:00,,,,,,,0525,13810184185,张飞,0.73
2917544,12,Shanghai,3532,05-26 09:54:00,05-26 18:00:00,05-26 19:00:00,121.19075,31.01226,495,1,05-26 17:22:00,,,,,,,0526,13810184185,张飞,8.27
1916160,12,Shanghai,3532,05-29 08:45:00,05-29 13:00:00,05-29 14:00:00,121.19094,31.011,495,1,05-29 13:44:00,,,,,,,0529,13810184185,张飞,8.02
3459676,12,Shanghai,3532,05-31 11:53:00,05-31 11:53:00,05-31 12:53:00,121.18876,31.01265,495,1,05-31 11:54:00,,,,,,,0531,13810184185,张飞,8.5
2339403,12,Shanghai,3532,05-26 09:11:00,05-26 11:00:00,05-26 12:00:00,121.18874,31.01169,495,1,05-26 10:51:00,,,,,,,0526,13810184185,张飞,2.74
5169842,12,Shanghai,3532,05-27 08:49:00,05-27 12:00:00,05-27 13:00:00,121.19099,31.01094,495,1,05-27 12:32:00,05-27 12:32:00,121.18897,31.01318,,,,0527,13810184185,张飞,4.66
1367548,12,Shanghai,3532,05-31 08:05:00,05-31 09:00:00,05-31 10:00:00,121.18876,31.0117,495,1,05-31 09:00:00,,,,,,,0531,13810184185,张飞,11.77
4084300,12,Shanghai,3532,05-31 08:02:00,05-31 14:00:00,05-31 15:00:00,121.1887,31.01272,495,1,05-31 13:47:00,,,,,,,0531,13810184185,张飞,8.5
5282668,12,Shanghai,3532,05-26 09:59:00,05-26 09:59:00,05-26 10:59:00,121.19001,31.01218,495,1,05-26 10:30:00,,,,,,,0526,13810184185,张飞,6.85
4825392,12,Shanghai,3532,05-26 08:47:00,05-26 10:00:00,05-26 11:00:00,121.18872,31.01176,495,1,05-26 09:47:00,,,,,,,0526,13810184185,张飞,2.92
5582825,12,Shanghai,3532,05-30 09:21:00,05-30 10:00:00,05-30 11:00:00,121.1908,31.01216,495,1,05-30 09:39:00,,,,,,,0530,13810184185,张飞,0.58
4393958,12,Shanghai,3532,05-31 08:22:00,05-31 09:00:00,05-31 10:00:00,121.19095,31.01285,495,1,05-31 09:13:00,,,,,,,0531,13810184185,张飞,9.67
1010955,12,Shanghai,3532,05-26 07:36:00,05-26 09:00:00,05-26 10:00:00,121.19017,31.01202,495,1,05-26 09:23:00,,,,,,,0526,13810184185,张飞,10.4
881712,12,Shanghai,3532,05-30 09:28:00,05-30 10:00:00,05-30 11:00:00,121.18864,31.01166,495,1,05-30 10:03:00,,,,,,,0530,13810184185,张飞,1.32
3521256,12,Shanghai,3532,05-26 13:59:00,05-26 14:00:00,05-26 15:00:00,121.18909,31.01125,495,1,05-26 14:41:00,,,,05-26 13:51:00,121.21647,31.01058,0526,13810184185,张飞,0.4
2752480,12,Shanghai,3532,05-30 11:08:00,05-30 12:00:00,05-30 13:00:00,121.18862,31.01262,495,1,05-30 11:36:00,,,,,,,0530,13810184185,张飞,1.34
1468886,12,Shanghai,3532,05-29 07:59:00,05-29 09:00:00,05-29 10:00:00,121.18879,31.01267,495,1,05-29 09:27:00,,,,,,,0529,13810184185,张飞,4.39
3498366,12,Shanghai,3532,05-29 07:21:00,05-29 10:00:00,05-29 11:00:00,121.18876,31.01278,495,1,05-29 09:44:00,,,,,,,0529,13810184185,张飞,2.0
771183,12,Shanghai,3532,05-28 16:05:00,05-28 16:05:00,05-28 17:05:00,121.19007,31.01218,495,1,05-28 16:50:00,,,,,,,0528,13810184185,张飞,5.38
3739316,12,Shanghai,3532,05-30 07:54:00,05-30 09:00:00,05-30 10:00:00,121.18871,31.01179,495,1,05-30 09:14:00,,,,,,,0530,13810184185,张飞,1.54
3647324,12,Shanghai,3532,05-27 09:14:00,05-27 10:00:00,05-27 11:00:00,121.18865,31.0127,495,1,05-27 10:12:00,,,,,,,0527,13810184185,张飞,1.89
5857162,12,Shanghai,3532,05-28 07:45:00,05-28 09:00:00,05-28 10:00:00,121.18868,31.01263,495,1,05-28 08:59:00,,,,,,,0528,13810184185,张飞,14.56
5685716,12,Shanghai,3532,05-27 15:50:00,05-27 18:00:00,05-27 19:00:00,121.18951,31.01281,495,1,05-27 17:21:00,,,,,,,0527,13810184185,张飞,1.91
4414637,12,Shanghai,3532,05-28 09:24:00,05-28 11:00:00,05-28 12:00:00,121.18871,31.01263,495,1,05-28 11:10:00,,,,,,,0528,13810184185,张飞,12.55
4536675,12,Shanghai,3532,05-25 10:23:00,05-25 10:23:00,05-25 11:23:00,121.18694,31.01297,495,1,05-25 10:59:00,,,,,,,0525,13810184185,张飞,14.0
2701429,12,Shanghai,3532,05-30 14:53:00,05-30 14:53:00,05-30 15:53:00,121.18868,31.01278,495,1,05-30 15:35:00,,,,,,,0530,13810184185,张飞,10.67
5025487,12,Shanghai,3532,05-31 07:39:00,05-31 09:00:00,05-31 10:00:00,121.19079,31.01219,495,1,05-31 08:50:00,,,,,,,0531,13810184185,张飞,0.1
5259052,12,Shanghai,3532,05-28 08:03:00,05-28 11:00:00,05-28 12:00:00,121.19079,31.01229,495,1,05-28 10:43:00,,,,05-28 08:03:00,121.21648,31.0104,0528,13810184185,张飞,0.33
1423906,12,Shanghai,3532,05-31 14:02:00,05-31 18:00:00,05-31 19:00:00,121.19293,31.0095,1978,1,05-31 17:53:00,,,,,,,0531,13810184185,张飞,11.86
162298,12,Shanghai,3532,05-28 09:11:00,05-28 13:00:00,05-28 14:00:00,121.19466,31.00981,1978,1,05-28 12:27:00,,,,,,,0528,13810184185,张飞,5.93
759441,12,Shanghai,3532,05-25 13:19:00,05-25 13:19:00,05-25 14:19:00,121.19169,31.00935,1978,1,05-25 13:52:00,,,,,,,0525,13810184185,张飞,11.9
3844529,12,Shanghai,3532,05-31 08:49:00,05-31 11:00:00,05-31 12:00:00,121.19147,31.01,1978,1,05-31 11:02:00,05-31 11:02:00,121.19327,31.01018,,,,0531,13810184185,张飞,0.73
5979932,12,Shanghai,3532,05-31 14:27:00,05-31 15:00:00,05-31 16:00:00,121.19249,31.00962,1978,1,05-31 15:24:00,,,,,,,0531,13810184185,张飞,8.88
4599800,12,Shanghai,3532,05-29 11:44:00,05-29 13:00:00,05-29 14:00:00,121.19257,31.00975,1978,1,05-29 13:25:00,05-29 13:19:00,121.20318,31.01026,,,,0529,13810184185,张飞,14.08
895085,12,Shanghai,3532,05-28 14:32:00,05-28 16:00:00,05-28 17:00:00,121.19144,31.00985,1978,1,05-28 15:55:00,,,,05-28 14:29:00,121.21652,31.01031,0528,13810184185,张飞,13.56
422417,12,Shanghai,3532,05-26 09:48:00,05-26 12:00:00,05-26 13:00:00,121.193,31.00942,1978,1,05-26 12:28:00,,,,,,,0526,13810184185,张飞,0.78
4837390,12,Shanghai,3532,05-26 08:42:00,05-26 17:00:00,05-26 18:00:00,121.19435,31.00931,1978,1,05-26 17:10:00,,,,,,,0526,13810184185,张飞,5.23
165907,12,Shanghai,3532,05-27 09:14:00,05-27 11:00:00,05-27 12:00:00,121.19434,31.00939,1978,1,05-27 09:32:00,,,,,,,0527,13810184185,张飞,11.3
3453716,12,Shanghai,3532,05-29 10:31:00,05-29 11:00:00,05-29 12:00:00,121.19195,31.01,1978,1,05-29 10:54:00,,,,,,,0529,13810184185,张飞,1.94
2150475,12,Shanghai,3532,05-27 16:36:00,05-27 16:36:00,05-27 17:36:00,121.19293,31.00952,1978,1,05-27 16:55:00,,,,,,,0527,13810184185,张飞,5.84
4200522,12,Shanghai,3532,05-25 16:22:00,05-25 16:22:00,05-25 17:22:00,121.19195,31.01007,1978,1,05-25 16:42:00,,,,,,,0525,13810184185,张飞,10.26
3518140,12,Shanghai,3532,05-30 09:39:00,05-30 09:39:00,05-30 10:39:00,121.1942,31.00999,1978,1,05-30 10:10:00,,,,,,,0530,13810184185,张飞,5.07
4148052,12,Shanghai,3532,05-26 08:42:00,05-26 11:00:00,05-26 12:00:00,121.19202,31.00993,1978,1,05-26 11:10:00,,,,,,,0526,13810184185,张飞,1.18
3560986,12,Shanghai,3532,05-27 08:53:00,05-27 13:00:00,05-27 14:00:00,121.19157,31.0094,1978,1,05-27 13:27:00,,,,,,,0527,13810184185,张飞,1.44
6019288,12,Shanghai,3532,05-28 08:23:00,05-28 09:00:00,05-28 10:00:00,121.19309,31.0095,1978,1,05-28 08:45:00,,,,,,,0528,13810184185,张飞,1.71
4429610,12,Shanghai,3532,05-28 12:30:00,05-28 12:30:00,05-28 13:30:00,121.19178,31.00963,1978,1,05-28 12:34:00,,,,,,,0528,13810184185,张飞,14.22
2137662,12,Shanghai,3532,05-29 07:57:00,05-29 09:00:00,05-29 10:00:00,121.19304,31.00955,1978,1,05-29 09:34:00,,,,,,,0529,13810184185,张飞,12.06
1693225,12,Shanghai,3532,05-30 08:37:00,05-30 11:00:00,05-30 12:00:00,121.19256,31.0097,1978,1,05-30 10:50:00,,,,,,,0530,13810184185,张飞,14.22
3724377,12,Shanghai,3532,05-28 09:06:00,05-28 11:00:00,05-28 12:00:00,121.19467,31.00982,1978,1,05-28 11:22:00,,,,,,,0528,13810184185,张飞,0.36
4109361,12,Shanghai,13475,05-29 18:25:00,05-29 18:25:00,05-30 23:59:00,121.19395,31.01006,1978,1,06-02 19:55:00,06-02 19:55:00,121.19402,31.01005,,,,0602,13872698415,吴军,13.33
5443731,12,Shanghai,3532,05-30 08:06:00,05-30 15:00:00,05-30 16:00:00,121.18886,31.00963,2262,1,05-30 11:50:00,,,,,,,0530,13810184185,张飞,0.86
3843118,12,Shanghai,3532,05-31 08:30:00,05-31 10:00:00,05-31 11:00:00,121.19044,31.00987,2262,1,05-31 10:02:00,05-31 10:02:00,121.19051,31.0101,,,,0531,13810184185,张飞,2.77
3241427,12,Shanghai,3532,05-28 07:59:00,05-28 09:00:00,05-28 10:00:00,121.18919,31.00937,2262,1,05-28 08:51:00,,,,05-28 07:58:00,121.21661,31.01041,0528,13810184185,张飞,8.34
2036595,12,Shanghai,3532,05-29 17:23:00,05-30 10:00:00,05-30 11:00:00,121.18883,31.00955,2262,1,05-30 09:32:00,,,,,,,0530,13810184185,张飞,3.55
4934415,12,Shanghai,3532,05-27 09:09:00,05-27 11:00:00,05-27 12:00:00,121.18887,31.00955,2262,1,05-27 10:39:00,,,,,,,0527,13810184185,张飞,0.14
5892408,12,Shanghai,3532,05-25 11:46:00,05-25 12:00:00,05-25 13:00:00,121.18862,31.00972,2262,1,05-25 11:52:00,,,,,,,0525,13810184185,张飞,11.75
1857832,12,Shanghai,3532,05-26 16:40:00,05-26 16:40:00,05-26 17:40:00,121.18871,31.00966,2262,1,05-26 16:54:00,,,,,,,0526,13810184185,张飞,4.91
2248361,12,Shanghai,3532,05-29 10:23:00,05-29 13:00:00,05-29 14:00:00,121.18862,31.00966,2262,1,05-29 13:34:00,,,,,,,0529,13810184185,张飞,11.18
1491120,12,Shanghai,3532,05-29 08:24:00,05-29 11:00:00,05-29 12:00:00,121.18887,31.00957,2262,1,05-29 10:40:00,,,,,,,0529,13810184185,张飞,2.17
5021970,12,Shanghai,3532,05-29 08:01:00,05-29 09:00:00,05-29 10:00:00,121.18816,31.00999,2262,1,05-29 09:17:00,,,,,,,0529,13810184185,张飞,0.53
4088164,12,Shanghai,3532,05-26 07:43:00,05-26 09:00:00,05-26 10:00:00,121.18916,31.0094,2262,1,05-26 08:54:00,,,,,,,0526,13810184185,张飞,0.76
1197397,12,Shanghai,3532,05-30 08:06:00,05-30 09:00:00,05-30 10:00:00,121.18871,31.00955,2262,1,05-30 08:42:00,,,,,,,0530,13810184185,张飞,3.82
3608377,12,Shanghai,3532,05-27 09:23:00,05-27 10:00:00,05-27 11:00:00,121.18873,31.00967,2262,1,05-27 10:18:00,,,,,,,0527,13810184185,张飞,11.44
914489,12,Shanghai,3532,05-31 11:07:00,05-31 17:00:00,05-31 18:00:00,121.18879,31.00964,2262,1,05-31 17:29:00,,,,05-31 11:03:00,121.19471,31.01014,0531,13810184185,张飞,5.91
2951249,12,Shanghai,9280,05-25 14:45:00,05-25 14:45:00,05-25 15:45:00,121.18884,31.0096,2262,1,05-25 15:13:00,05-25 15:13:00,121.20137,31.00457,05-25 14:44:00,121.18295,31.00635,0525,13866380114,郭平,13.61
405161,12,Shanghai,10459,05-28 08:21:00,05-28 12:00:00,05-28 13:00:00,121.20766,31.01158,2987,1,05-28 10:41:00,05-28 10:41:00,121.20866,31.01099,05-28 08:21:00,121.20413,31.01924,0528,13899018410,林鑫,5.88
426233,12,Shanghai,10459,05-30 09:20:00,05-30 18:00:00,05-30 19:00:00,121.2077,31.01151,2987,1,05-30 18:10:00,05-30 18:10:00,121.20883,31.01085,05-30 09:20:00,121.20265,31.01496,0530,13899018410,林鑫,10.85
3483845,12,Shanghai,10459,05-31 14:05:00,05-31 17:00:00,05-31 18:00:00,121.20777,31.01157,2987,1,05-31 16:42:00,05-31 16:41:00,121.20886,31.01096,05-31 14:05:00,121.20732,31.00943,0531,13899018410,林鑫,0.96
4746946,12,Shanghai,10459,05-31 14:17:00,06-01 09:00:00,06-01 10:00:00,121.20759,31.01173,2987,1,06-01 09:36:00,06-01 09:36:00,121.20831,31.01101,,,,0601,13899018410,林鑫,13.54
4274606,12,Shanghai,10459,05-31 13:11:00,05-31 13:11:00,05-31 14:11:00,121.20755,31.01166,2987,1,05-31 13:39:00,05-31 13:39:00,121.20877,31.0109,05-31 13:10:00,121.2071,31.01015,0531,13899018410,林鑫,6.52
500514,12,Shanghai,10459,05-30 10:42:00,05-30 14:00:00,05-30 15:00:00,121.20821,31.01118,2987,1,05-30 11:10:00,05-30 11:10:00,121.20867,31.01095,05-30 10:42:00,121.20284,31.0103,0530,13899018410,林鑫,1.46
2040226,12,Shanghai,10459,05-31 07:42:00,05-31 09:00:00,05-31 10:00:00,121.20763,31.01151,2987,1,05-31 09:49:00,05-31 09:49:00,121.20881,31.01097,05-31 07:42:00,121.20421,31.01926,0531,13899018410,林鑫,11.91
2140675,12,Shanghai,10459,05-29 08:12:00,05-29 09:00:00,05-29 10:00:00,121.20778,31.01129,2987,1,05-29 09:41:00,05-29 09:40:00,121.20875,31.01095,05-29 08:12:00,121.20414,31.01917,0529,13899018410,林鑫,2.03
4799109,12,Shanghai,10459,05-28 07:05:00,05-28 11:00:00,05-28 12:00:00,121.20767,31.0115,2987,1,05-28 10:48:00,05-28 10:47:00,121.20874,31.01099,,,,0528,13899018410,林鑫,12.56
3948798,12,Shanghai,10459,05-26 09:35:00,05-26 12:00:00,05-26 13:00:00,121.20778,31.01146,2987,1,05-26 10:30:00,05-26 10:29:00,121.20882,31.01098,05-26 09:34:00,121.20431,31.01918,0526,13899018410,林鑫,8.23
1635654,12,Shanghai,10459,05-29 09:03:00,05-29 14:00:00,05-29 15:00:00,121.20826,31.01108,2987,1,05-29 13:39:00,05-29 13:39:00,121.20864,31.01104,05-29 09:03:00,121.20399,31.01881,0529,13899018410,林鑫,0.48
3363680,12,Shanghai,10459,05-26 12:20:00,05-26 13:00:00,05-26 14:00:00,121.20763,31.01114,2987,1,05-26 12:23:00,05-26 12:23:00,121.20364,31.01363,05-26 12:20:00,121.20362,31.01028,0526,13899018410,林鑫,1.66
2618879,12,Shanghai,10459,05-31 10:55:00,05-31 10:55:00,05-31 11:55:00,121.20761,31.01151,2987,1,05-31 10:57:00,05-31 10:57:00,121.20721,31.01016,05-31 10:55:00,121.20719,31.01029,0531,13899018410,林鑫,2.68
1449210,12,Shanghai,15685,05-28 08:02:00,05-28 09:00:00,05-28 10:00:00,121.19234,31.01802,3115,1,05-28 09:20:00,,,,,,,0528,13822601074,张勇,1.37
4740861,12,Shanghai,15685,05-26 09:32:00,05-26 12:00:00,05-26 13:00:00,121.19176,31.01941,3115,1,05-26 12:38:00,,,,,,,0526,13822601074,张勇,13.0
2762055,12,Shanghai,15685,05-31 08:43:00,05-31 10:00:00,05-31 11:00:00,121.19239,31.01805,3115,1,05-31 09:55:00,,,,,,,0531,13822601074,张勇,1.52
3058564,12,Shanghai,15685,05-30 13:52:00,05-30 13:52:00,05-30 14:52:00,121.19229,31.01801,3115,1,05-30 14:14:00,,,,,,,0530,13822601074,张勇,14.39
2903302,12,Shanghai,15685,05-31 12:04:00,05-31 13:00:00,05-31 14:00:00,121.19186,31.01808,3115,1,05-31 12:28:00,,,,,,,0531,13822601074,张勇,0.29
5210089,12,Shanghai,15685,05-31 10:03:00,05-31 11:00:00,05-31 12:00:00,121.1918,31.01806,3115,1,05-31 10:09:00,,,,,,,0531,13822601074,张勇,0.49
175906,12,Shanghai,15685,05-29 08:08:00,05-29 09:00:00,05-29 10:00:00,121.19228,31.01818,3115,1,05-29 09:22:00,,,,,,,0529,13822601074,张勇,13.1
1305693,12,Shanghai,15685,05-30 11:30:00,05-30 12:00:00,05-30 13:00:00,121.19227,31.01811,3115,1,05-30 11:40:00,,,,,,,0530,13822601074,张勇,13.75
